Organism	Element ID	Element Description	Promoter	Transgenesis	Stage	Expression	Tissues	Genome Assembly	Element Coordinates
Human	hs624.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:94792770-94794217
Human	hs625.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain	hg38	chr16:49701191-49702538
Human	hs626.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:181686318-181687082
Human	hs627.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr17:39618236-39618735
Human	hs628.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr9:159657-160776
Human	hs629.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr7:27248649-27249869
Human	hs630.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr3:71228161-71229801
Human	hs631.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Forebrain	hg38	chr8:37100333-37101201
Human	hs632.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain, Midbrain, Neural tube	hg38	chr20:2738564-2739143
Human	hs633.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr5:2111943-2113316
Human	hs634.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain, Midbrain, Neural tube	hg38	chr18:78246820-78248476
Human	hs635.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:50381734-50382493
Human	hs636.0	reference	Hsp68	random	e11.5	positive	Forebrain, Limb	hg38	chr3:158164514-158166174
Human	hs636.0	reference	Hsp68	random	e13.5	positive	Forebrain	hg38	chr3:158164514-158166174
Human	hs636.0	reference	Hsp68	random	e15.5	negative		hg38	chr3:158164514-158166174
Human	hs638.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr3:157871437-157872574
Human	hs639.0	reference	Hsp68	random	e11.5	negative		hg38	chr19:31718583-31720805
Human	hs640.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr2:163717497-163718948
Human	hs641.0	reference	Hsp68	random	e11.5	positive	Forebrain, Limb, Other	hg38	chr9:113964156-113965533
Human	hs643.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain	hg38	chr9:23004731-23005790
Human	hs644.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Facial mesenchyme, Forebrain, Hindbrain, Limb, Midbrain	hg38	chr7:18846348-18847607
Human	hs645.0	reference	Hsp68	random	e11.5	positive	Ear	hg38	chr1:32044429-32045312
Human	hs646.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr2:171963843-171964792
Human	hs647.0	reference	Hsp68	random	e11.5	negative		hg38	chr12:18076546-18077496
Human	hs648.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:104868632-104869919
Human	hs649.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Forebrain, Midbrain	hg38	chr2:145931482-145932531
Human	hs651.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:18857122-18858368
Human	hs653.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr3:137467122-137468024
Human	hs654.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr3:148083228-148084382
Human	hs655.0	reference	Hsp68	random	e11.5	positive	Nose	hg38	chr3:180744037-180745086
Human	hs656.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr10:129602684-129604015
Human	hs657.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:150572499-150573502
Human	hs658.0	reference	Hsp68	random	e11.5	positive	Midbrain, Neural tube	hg38	chr7:70237245-70238629
Human	hs659.0	reference	Hsp68	random	e11.5	negative		hg38	chr20:38519747-38521106
Human	hs660.0	reference	Hsp68	random	e11.5	positive	Forebrain, Neural tube	hg38	chr15:66906636-66907796
Human	hs661.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr12:16787774-16789388
Human	hs662.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr2:156864116-156865074
Human	hs663.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:143357439-143359166
Human	hs666.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:137641981-137643122
Human	hs667.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Hindbrain, Midbrain, Neural tube	hg38	chrX:140249968-140251211
Human	hs668.0	reference	Hsp68	random	e11.5	negative		hg38	chr9:73539848-73540596
Human	hs669.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr8:91812531-91814390
Human	hs671.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr1:97144935-97146185
Human	hs672.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr10:118314527-118316184
Human	hs675.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr2:143346313-143348075
Human	hs676.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Ear, Forebrain, Hindbrain	hg38	chr6:97096735-97097883
Human	hs677.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:10533066-10534152
Human	hs678.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr4:54095831-54096629
Human	hs679.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr18:47560919-47561703
Human	hs680.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Hindbrain, Midbrain	hg38	chr4:84324438-84325402
Human	hs681.0	reference	Hsp68	random	e11.5	negative		hg38	chr11:15300153-15301360
Human	hs682.0	reference	Hsp68	random	e11.5	positive	Eye	hg38	chr5:92002367-92003176
Human	hs683.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:60621185-60622195
Human	hs684.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:115473497-115474489
Human	hs686.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:25143712-25144641
Human	hs687.0	reference	Hsp68	random	e11.5	positive	Forebrain, Neural tube	hg38	chr4:54015055-54016288
Human	hs688.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr20:20492309-20493556
Human	hs689.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:163324403-163325682
Human	hs690.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr2:62966720-62967794
Human	hs691.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:155905526-155906679
Human	hs692.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr11:15565495-15566768
Human	hs692.0	reference	Hsp68	random	e13.5	positive	Forebrain, Facial mesenchyme, Midbrain	hg38	chr11:15565495-15566768
Human	hs692.0	reference	Hsp68	random	e15.5	positive	Forebrain	hg38	chr11:15565495-15566768
Human	hs693.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion, Trigeminal V (ganglion, cranial)	hg38	chr5:171044249-171045366
Human	hs695.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:77639400-77640441
Human	hs696.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:129605804-129607046
Human	hs697.0	reference	Hsp68	random	e11.5	positive	Eye	hg38	chr17:48149190-48150331
Human	hs698.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion, Forebrain, Hindbrain, Midbrain, Neural tube, Trigeminal V (ganglion, cranial)	hg38	chr8:52254170-52255276
Human	hs699.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr10:129033193-129034911
Human	hs700.0	reference	Hsp68	random	e11.5	negative		hg38	chr12:16880382-16881483
Human	hs701.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr7:21044723-21045841
Human	hs702.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr2:104516357-104517372
Human	hs704.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr14:36463945-36465327
Human	hs705.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr1:3274017-3274864
Human	hs710.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:92003430-92004348
Human	hs712.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr4:83778858-83780112
Human	hs713.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:55863437-55864650
Human	hs715.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:78292624-78294164
Human	hs716.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:105731775-105733096
Human	hs717.0	reference	Hsp68	random	e11.5	positive	Cranial nerve, Dorsal root ganglion, Trigeminal V (ganglion, cranial)	hg38	chr11:16356231-16357544
Human	hs718.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:103960650-103961715
Human	hs719.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:146502973-146503848
Human	hs720.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr7:114153490-114154507
Human	hs721.0	reference	Hsp68	random	e11.5	positive	Eye	hg38	chr19:30083480-30084453
Human	hs722.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Trigeminal V (ganglion, cranial)	hg38	chr9:81394601-81395951
Human	hs723.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:74274670-74275347
Human	hs725.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:63040879-63042178
Human	hs726.0	reference	Hsp68	random	e11.5	negative		hg38	chr21:18442017-18442838
Human	hs727.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:59031418-59032389
Human	hs728.0	reference	Hsp68	random	e11.5	negative		hg38	chr20:52660797-52661449
Human	hs729.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:43591368-43592559
Human	hs730.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:43562867-43563532
Human	hs731.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:43627654-43628719
Human	hs733.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:75024460-75025643
Human	hs734.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:217592780-217594006
Human	hs736.0	reference	Hsp68	random	e11.5	negative		hg38	chr14:27566891-27567629
Human	hs737.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr10:128568604-128569741
Human	hs737.0	reference	Shh	targeted (H11)	e11.5	positive	Cranial nerve, Hindbrain, Midbrain, Trigeminal V (ganglion, cranial)	hg38	chr10:128568604-128569741
Human	hs738.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:115655213-115656539
Human	hs739.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:148075424-148076460
Human	hs740.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:25187293-25188510
Human	hs741.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr3:158185525-158186853
Human	hs742.0	reference	Hsp68	random	e11.5	positive	Eye, Forebrain, Hindbrain	hg38	chr8:77130339-77131965
Human	hs743.0	reference	Hsp68	random	e11.5	negative		hg38	chrX:81765785-81766550
Human	hs744.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:55900648-55901587
Human	hs744.0	reference	Hsp68	random	e9.5	negative		hg38	chr18:55900648-55901587
Human	hs746.0	reference	Hsp68	random	e11.5	positive	Branchial arch	hg38	chr4:4521140-4522319
Human	hs746.0	reference	Hsp68	random	e13.5	positive	Branchial arch, Eye, Facial mesenchyme, Nose	hg38	chr4:4521140-4522319
Human	hs746.0	reference	Hsp68	random	e15.5	positive	Branchial arch, Eye, Nose	hg38	chr4:4521140-4522319
Human	hs747.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:72194854-72196311
Human	hs748.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr10:76630835-76632117
Human	hs749.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr7:13411299-13412094
Human	hs750.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:17567063-17567992
Human	hs752.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion, Neural tube, Trigeminal V (ganglion, cranial)	hg38	chr9:82331980-82333121
Human	hs753.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:49205407-49206260
Human	hs754.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain	hg38	chr5:3197755-3198828
Human	hs755.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chrX:137234651-137235712
Human	hs756.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:59630476-59631646
Human	hs759.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr13:105363250-105364577
Human	hs760.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:145940173-145941077
Human	hs762.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr1:163472155-163473052
Human	hs764.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr1:63199548-63200448
Human	hs765.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr9:79208384-79209752
Human	hs768.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:105599201-105600255
Human	hs769.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr7:26485046-26486016
Human	hs770.0	reference	Hsp68	random	e11.5	negative		hg38	chrX:140511339-140512609
Human	hs771.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:123348807-123349878
Human	hs772.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:64871746-64872902
Human	hs773.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:146531834-146533100
Human	hs774.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr8:76778449-76779543
Human	hs775.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr18:79250013-79250795
Human	hs776.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:35253121-35254641
Human	hs777.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:145299939-145301074
Human	hs778.0	reference	Hsp68	random	e11.5	positive	Other	hg38	chr17:61815758-61816776
Human	hs779.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr2:60125379-60126464
Human	hs781.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr8:22049919-22050771
Human	hs782.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain, Midbrain, Tail	hg38	chr8:22043578-22044815
Human	hs783.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr8:21987881-21988944
Human	hs784.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:158528066-158528791
Human	hs785.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:114741502-114742782
Human	hs787.0	reference	Hsp68	random	e11.5	negative		hg38	chr6:50584543-50586680
Human	hs788.0	reference	Hsp68	random	e11.5	negative		hg38	chr9:125633480-125634659
Human	hs789.0	reference	Hsp68	random	e11.5	positive	Eye	hg38	chr5:89377595-89378677
Human	hs790.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:38197141-38198368
Human	hs791.0	reference	Hsp68	random	e11.5	negative		hg38	chr14:30519860-30521733
Human	hs791.0	reference	Hsp68	random	e14.5	negative		hg38	chr14:30519860-30521733
Human	hs792.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:114755119-114756536
Human	hs793.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr7:10644691-10645728
Human	hs794.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:157149037-157150009
Human	hs795.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:75923696-75924878
Human	hs796.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr13:94661602-94663187
Human	hs797.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:39918700-39919610
Human	hs798.0	reference	Hsp68	random	e11.5	positive	Forebrain, Neural tube	hg38	chr12:16017660-16018890
Human	hs799.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr7:9231679-9232728
Human	hs799.0	reference	Hsp68	random	e13.5	positive	Forebrain	hg38	chr7:9231679-9232728
Human	hs799.0	reference	Hsp68	random	e15.5	positive	Forebrain, Nose	hg38	chr7:9231679-9232728
Human	hs800.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion	hg38	chr9:82363363-82364216
Human	hs801.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:78093919-78095492
Human	hs802.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:47542737-47543421
Human	hs803.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:155543283-155544975
Human	hs804.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:105089699-105091207
Human	hs804.0	reference	Shh	targeted (H11)	e11.5	negative		hg38	chr8:105089699-105091207
Human	hs805.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:146576209-146577397
Human	hs806.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:92022808-92023913
Human	hs807.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr7:22051744-22052939
Human	hs808.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:75858391-75859197
Human	hs809.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Cranial nerve	hg38	chr1:87329513-87331054
Human	hs810.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:102943512-102944514
Human	hs811.0	reference	Hsp68	random	e11.5	negative		hg38	chr9:73569085-73569715
Human	hs812.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:36673935-36675330
Human	hs813.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr5:158716416-158717714
Human	hs815.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:76542110-76543008
Human	hs816.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr7:14340002-14341112
Human	hs816.1	reference 2	Shh	targeted (H11)	e11.5	positive	Hindbrain	hg38	chr7:14340002-14341112
Human	hs817.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:64461234-64462365
Human	hs818.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr9:125758715-125760374
Human	hs819.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:37117120-37118217
Human	hs821.0	reference	Hsp68	random	e11.5	negative		hg38	chr19:30401502-30402618
Human	hs822.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:59849929-59851612
Human	hs822.0	reference	Hsp68	random	e14.5	negative		hg38	chr2:59849929-59851612
Human	hs823.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:78998128-78999456
Human	hs824.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr18:74855720-74857326
Human	hs825.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:18875081-18875981
Human	hs826.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:23201913-23202579
Human	hs827.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:70416777-70417705
Human	hs828.0	reference	Hsp68	random	e11.5	positive	Hindbrain	hg38	chr15:36672622-36673897
Human	hs829.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:171156493-171157417
Human	hs830.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr15:37867309-37868806
Human	hs831.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Other	hg38	chr2:67054128-67055408
Human	hs832.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:158483768-158484540
Human	hs833.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:70515630-70516313
Human	hs834.0	reference	Hsp68	random	e11.5	positive	Limb, Other	hg38	chr8:37637791-37638683
Human	hs836.0	reference	Hsp68	random	e11.5	positive	Facial mesenchyme	hg38	chr2:59313505-59314798
Human	hs838.0	reference	Hsp68	random	e11.5	negative		hg38	chr8:64916637-64917609
Human	hs839.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:17946143-17947453
Human	hs840.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr4:66123766-66124648
Human	hs840.0	reference	Hsp68	random	e13.5	positive	Forebrain, Midbrain	hg38	chr4:66123766-66124648
Human	hs841.0	reference	Hsp68	random	e11.5	positive	Forebrain, Midbrain	hg38	chr10:117094613-117095728
Human	hs842.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr4:14267213-14268300
Human	hs843.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Nose	hg38	chr3:137920073-137921266
Human	hs844.0	reference	Hsp68	random	e11.5	positive	Forebrain, Facial mesenchyme	hg38	chr7:20793012-20794283
Human	hs845.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:12472468-12473269
Human	hs846.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:70426260-70427042
Human	hs847.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr4:42148074-42149043
Human	hs848.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain, Neural tube	hg38	chr16:51457892-51459114
Human	hs849.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:36701450-36702285
Human	hs850.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:38825832-38826769
Human	hs851.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr18:39183803-39184827
Human	hs852.0	reference	Hsp68	random	e11.5	positive	Forebrain, Facial mesenchyme	hg38	chr9:13750119-13751399
Human	hs853.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr5:87787195-87788931
Human	hs854.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:71003225-71004091
Human	hs855.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr11:31967631-31968476
Human	hs856.0	reference	Hsp68	random	e11.5	negative		hg38	chrX:148747496-148748635
Human	hs858.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Limb	hg38	chr19:30256154-30257741
Human	hs859.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:53529145-53530543
Human	hs860.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr2:174331319-174332386
Human	hs861.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:115622700-115624715
Human	hs863.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr11:31480488-31481607
Human	hs864.0	reference	Hsp68	random	e11.5	positive	Heart	hg38	chr3:70985238-70986275
Human	hs865.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr6:50717534-50718524
Human	hs866.0	reference	Hsp68	random	e11.5	negative		hg38	chr11:32030856-32031949
Human	hs868.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Neural tube	hg38	chr2:105080757-105081700
Human	hs870.0	reference	Hsp68	random	e11.5	negative		hg38	chr19:31717856-31718567
Human	hs871.0	reference	Hsp68	random	e11.5	negative		hg38	chrX:82442185-82442796
Human	hs872.0	reference	Hsp68	random	e11.5	positive	Eye, Forebrain, Hindbrain, Midbrain, Neural tube	hg38	chr11:121929066-121930463
Human	hs873.0	reference	Hsp68	random	e11.5	negative		hg38	chr11:72369476-72370453
Human	hs874.0	reference	Hsp68	random	e11.5	negative		hg38	chr13:64528646-64529625
Human	hs876.0	reference	Hsp68	random	e11.5	positive	Forebrain, Hindbrain, Midbrain, Neural tube	hg38	chr9:130665170-130665841
Human	hs877.0	reference	Hsp68	random	e11.5	negative		hg38	chr7:50179872-50180692
Human	hs878.0	reference	Hsp68	random	e11.5	positive	Limb, Tail	hg38	chr1:88150004-88151240
Human	hs879.0	reference	Hsp68	random	e11.5	negative		hg38	chr14:36424119-36425121
Human	hs880.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:38444526-38445567
Human	hs881.0	reference	Hsp68	random	e11.5	positive	Nose	hg38	chr13:66035671-66036616
Human	hs882.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion, Hindbrain, Midbrain, Neural tube, Trigeminal V (ganglion, cranial)	hg38	chr13:70958909-70960063
Human	hs883.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr11:16290047-16291331
Human	hs885.0	reference	Hsp68	random	e11.5	negative		hg38	chr18:79283193-79284144
Human	hs886.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr4:180280409-180281376
Human	hs887.0	reference	Hsp68	random	e11.5	negative		hg38	chr3:189139396-189140234
Human	hs890.0	reference	Hsp68	random	e11.5	negative		hg38	chr2:163493170-163494602
Human	hs891.0	reference	Hsp68	random	e11.5	positive	Neural tube	hg38	chr8:76047786-76049479
Human	hs895.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Limb, Trigeminal V (ganglion, cranial)	hg38	chr12:24080950-24082697
Human	hs897.0	reference	Hsp68	random	e11.5	negative		hg38	chr10:101485257-101486853
Human	hs897.0	reference	Hsp68	random	e14.5	negative		hg38	chr10:101485257-101486853
Human	hs900.0	reference	Hsp68	random	e11.5	negative		hg38	chr5:3179502-3180318
Human	hs901.0	reference	Hsp68	random	e11.5	positive	Hindbrain, Midbrain	hg38	chr9:37251214-37252226
Human	hs902.0	reference	Hsp68	random	e11.5	negative		hg38	chrX:140298751-140300034
Human	hs904.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:144938849-144940129
Human	hs905.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:144647096-144648803
Human	hs906.0	reference	Hsp68	random	e11.5	positive	Genital tubercle, Hindbrain, Limb, Midbrain	hg38	chr4:144355661-144357567
Human	hs908.0	reference	Hsp68	random	e11.5	positive	Dorsal root ganglion, Midbrain, Neural tube, Trigeminal V (ganglion, cranial)	hg38	chr8:98416253-98417204
Human	hs909.0	reference	Hsp68	random	e11.5	positive	Other, Somite	hg38	chr8:99668181-99669581
Human	hs910.0	reference	Hsp68	random	e11.5	negative		hg38	chr15:32799326-32800458
Human	hs911.0	reference	Hsp68	random	e11.5	negative		hg38	chr20:52935926-52937538
Human	hs914.0	reference	Hsp68	random	e11.5	positive	Forebrain	hg38	chr20:21234152-21236594
Human	hs915.0	reference	Hsp68	random	e11.5	positive	Limb, Midbrain	hg38	chr13:78401880-78403203
Human	hs916.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:13515873-13517543
Human	hs917.0	reference	Hsp68	random	e11.5	negative		hg38	chr1:33256893-33258359
Human	hs917.0	reference	Shh	targeted (H11)	e11.5	positive	Facial mesenchyme, Heart, Other	hg38	chr1:33256893-33258359
Human	hs918.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:108141068-108142627
Human	hs919.0	reference	Hsp68	random	e11.5	positive	Limb	hg38	chr8:115418467-115420299
Human	hs920.0	reference	Hsp68	random	e11.5	negative		hg38	chr16:8408831-8409719
Human	hs921.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Forebrain, Limb	hg38	chr2:236053955-236056213
Human	hs922.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:61251116-61252834
Human	hs923.0	reference	Hsp68	random	e11.5	negative		hg38	chr17:56129358-56131065
Human	hs924.0	reference	Hsp68	random	e11.5	positive	Other	hg38	chr17:2178704-2180995
Human	hs925.0	reference	Hsp68	random	e11.5	positive	Limb, Neural tube	hg38	chr7:70638137-70639345
Human	hs926.0	reference	Hsp68	random	e11.5	positive	Other	hg38	chr4:111747146-111748759
Human	hs927.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:111114800-111116404
Human	hs927.0	reference	Shh	targeted (H11)	e11.5	negative		hg38	chr4:111114800-111116404
Human	hs928.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:111635318-111637136
Human	hs928.0	reference	Shh	targeted (H11)	e11.5	negative		hg38	chr4:111635318-111637136
Human	hs929.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:110913299-110914576
Human	hs930.0	reference	Hsp68	random	e11.5	positive	Midbrain	hg38	chr4:110748103-110750012
Human	hs931.0	reference	Hsp68	random	e11.5	negative		hg38	chr4:111209820-111211229
Human	hs932.0	reference	Hsp68	random	e11.5	positive	Branchial arch, Eye, Limb, Nose	hg38	chr1:209815705-209816479
Human	hs932.0	reference	Hsp68	random	e12.5	positive	Branchial arch, Ear, Eye, Limb, Nose	hg38	chr1:209815705-209816479
